County,Population,deaths2018,fips
"Yancey County, NC",17903,140.3224608,37199
"Adams County, ND",2294,16.3228423,38001
"Barnes County, ND",10542,75.1511068,38003
"Benson County, ND",6962,66.85390457,38005
"Bottineau County, ND",6411,57.48921071,38009
"Bowman County, ND",3076,18.34673023,38011
"Burke County, ND",2100,NA,38013
"Burleigh County, ND",95273,587.9719207,38015
"Cass County, ND",181516,1171.739025,38017
"Cavalier County, ND",3829,25.14930595,38019
"Dickey County, ND",4903,39.40750295,38021
"Divide County, ND",2283,13.349462,38023
"Dunn County, ND",4332,29.58051328,38025
"Eddy County, ND",2313,22.12656663,38027
"Emmons County, ND",3295,22.03745425,38029
"Foster County, ND",3216,21.72417648,38031
"Golden Valley County, ND",1769,NA,38033
"Grand Forks County, ND",70770,528.0262932,38035
"Grant County, ND",2374,13.38886146,38037
"Griggs County, ND",2232,16.68010056,38039
"Hettinger County, ND",2514,14.78184234,38041
"Kidder County, ND",2450,NA,38043
"LaMoure County, ND",4062,21.87851422,38045
"Logan County, ND",1903,13.39614947,38047
"McHenry County, ND",5816,43.55804021,38049
"McIntosh County, ND",2585,17.1971261,38051
"McKenzie County, ND",13632,90.18485888,38053
"McLean County, ND",9541,72.28614617,38055
"Mercer County, ND",8267,53.41129582,38057
"Morton County, ND",31095,244.4272227,38059
"Mountrail County, ND",10218,105.6717971,38061
"Nelson County, ND",2869,25.01658978,38063
"Oliver County, ND",1952,NA,38065
"Pembina County, ND",6947,45.50868548,38067
"Pierce County, ND",4081,25.06479463,38069
"Ramsey County, ND",11481,83.09656948,38071
"Ransom County, ND",5237,45.16694292,38073
"Renville County, ND",2374,18.91427524,38075
"Richland County, ND",16239,102.4406461,38077
"Rolette County, ND",14301,152.1199754,38079
"Sargent County, ND",3870,21.8090883,38081
"Sheridan County, ND",NA,NA,38083
"Sioux County, ND",4358,51.51108062,38085
"Stark County, ND",30997,196.5642725,38089
"Steele County, ND",1903,NA,38091
"Stutsman County, ND",20917,156.9041343,38093
